,k,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__k_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.0,1.4609038352966308,0.10094466334372394,0.0013973236083984375,0.0004900206424694362,1,{'feature_selection__k_features': 1},0.36176470588235293,0.4117647058823529,0.37058823529411766,0.38235294117647056,0.4411764705882353,0.39352941176470585,0.029199232108213773,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,,2.853580904006958,0.12560048471179533,0.0011951923370361328,0.00039637124269512606,2,{'feature_selection__k_features': 2},0.6852941176470588,0.7764705882352941,0.7764705882352941,0.7705882352941177,0.788235294117647,0.7594117647058823,0.037499711648257,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,,4.650968408584594,0.109599361174409,0.0013964653015136718,0.0004887724013674795,3,{'feature_selection__k_features': 3},0.8411764705882353,0.9088235294117647,0.8735294117647059,0.8735294117647059,0.8941176470588236,0.8782352941176471,0.022827774014037946,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,2.0,1.4989843845367432,0.128107782476306,0.0013962268829345703,0.0004889675575403386,1,{'feature_selection__k_features': 1},0.36176470588235293,0.34705882352941175,0.32941176470588235,0.3764705882352941,0.40588235294117647,0.3641176470588235,0.02606884683077687,3,0.6977941176470588,0.7,0.7058823529411765,0.6970588235294117,0.6926470588235294,0.6986764705882352,0.004322628957852689
1,,3.066412162780762,0.09892816536026652,0.0013959884643554687,0.0004886753756621107,2,{'feature_selection__k_features': 2},0.6352941176470588,0.7,0.7441176470588236,0.6941176470588235,0.6735294117647059,0.6894117647058824,0.03551889209282478,2,0.8654411764705883,0.8485294117647059,0.8852941176470588,0.8698529411764706,0.8757352941176471,0.868970588235294,0.012192586663631835
2,,5.071453523635864,0.42612460148125136,0.001397085189819336,0.00048807192297821607,3,{'feature_selection__k_features': 3},0.7852941176470588,0.8117647058823529,0.861764705882353,0.8205882352941176,0.8294117647058824,0.8217647058823528,0.024859466598959365,1,0.9205882352941176,0.9102941176470588,0.9426470588235294,0.9198529411764705,0.9294117647058824,0.9245588235294118,0.010882352941176478
0,3.0,1.444147491455078,0.02949889383396833,0.0013967514038085937,0.0004882469435277836,1,{'feature_selection__k_features': 1},0.39705882352941174,0.4176470588235294,0.4,0.4176470588235294,0.4411764705882353,0.4147058823529412,0.015784009252939688,3,0.6485294117647059,0.6625,0.6595588235294118,0.6485294117647059,0.6455882352941177,0.6529411764705882,0.006755108281091653
1,,3.4798463344573975,0.7523347411687503,0.0011973381042480469,0.00039900492850360815,2,{'feature_selection__k_features': 2},0.6764705882352942,0.7941176470588235,0.7647058823529411,0.7058823529411765,0.6794117647058824,0.7241176470588236,0.04722031115385755,2,0.8419117647058824,0.8632352941176471,0.8647058823529412,0.8382352941176471,0.836764705882353,0.8489705882352941,0.012370435791066534
2,,4.525512838363648,0.06303374556903786,0.0015945911407470703,0.000487011122742928,3,{'feature_selection__k_features': 3},0.788235294117647,0.9058823529411765,0.888235294117647,0.8411764705882353,0.8558823529411764,0.8558823529411764,0.04083895284167007,1,0.9058823529411765,0.9352941176470588,0.9382352941176471,0.9154411764705882,0.9088235294117647,0.920735294117647,0.013481372513371582
0,4.0,1.4086509227752686,0.01328286432988468,0.0013992786407470703,0.0004884262586757555,1,{'feature_selection__k_features': 1},0.4176470588235294,0.4264705882352941,0.39705882352941174,0.43823529411764706,0.4323529411764706,0.4223529411764706,0.014360653665569071,3,0.6279411764705882,0.6161764705882353,0.6389705882352941,0.6176470588235294,0.6279411764705882,0.6257352941176471,0.008266746660326556
1,,3.037083625793457,0.058099664364084196,0.0014033317565917969,0.0004831170450056524,2,{'feature_selection__k_features': 2},0.6735294117647059,0.7088235294117647,0.75,0.6882352941176471,0.7617647058823529,0.7164705882352941,0.034279534786666954,2,0.8102941176470588,0.7933823529411764,0.8397058823529412,0.8007352941176471,0.8389705882352941,0.8166176470588236,0.019312356873972737
2,,4.775222873687744,0.1459264358957138,0.0019958019256591797,3.8027576517823955e-06,3,{'feature_selection__k_features': 3},0.7735294117647059,0.85,0.861764705882353,0.8352941176470589,0.8735294117647059,0.8388235294117647,0.03501853192032286,1,0.8823529411764706,0.8801470588235294,0.9183823529411764,0.8830882352941176,0.9110294117647059,0.8949999999999999,0.01628572729400838
