loop,precision_3,SFS,num selected features,feature idx,n_neighbors
1,0.6453246753246753,SFS,3,"(1, 5, 6)",2
2,0.4378656126482213,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",6
3,0.6303238265002972,SFS,5,"(1, 2, 5, 6, 7)",1
4,0.4864035087719299,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",3
5,0.5273808049535603,SFS,6,"(0, 1, 2, 4, 5, 7)",4
6,0.513562091503268,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
7,0.5079084967320261,SFS,5,"(0, 1, 2, 4, 5)",7
8,0.46325757575757576,SFS,2,"(0, 5)",6
9,0.3872549019607844,SFS,1,"(0,)",7
10,0.5316194899012237,SFS,3,"(0, 1, 5)",5
11,0.4702020202020202,SFS,2,"(0, 4)",7
12,0.6521381886087768,SFS,4,"(1, 5, 6, 7)",1
13,0.2716211125206628,SFS,1,"(6,)",2
14,0.4571245421245421,SFS,5,"(0, 1, 2, 5, 7)",3
15,0.5079084967320261,SFS,5,"(0, 1, 2, 4, 5)",7
16,0.5111629072681704,SFS,2,"(0, 5)",5
17,0.5338345864661653,SFS,5,"(1, 2, 5, 6, 7)",2
18,0.4710751237067027,SFS,6,"(0, 1, 2, 4, 5, 7)",7
19,0.3534356725146199,SFS,1,"(0,)",5
20,0.434862700228833,SFS,3,"(0, 2, 5)",6
