loop,recall_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7848739495798319,SFS,6,"(0, 2, 3, 4, 5, 7)",4
2,0.8394957983193277,SFS,5,"(0, 2, 3, 4, 5)",1
3,0.7705882352941177,SFS,4,"(0, 4, 5, 6)",6
4,0.7899159663865546,SFS,4,"(0, 3, 4, 5)",4
5,0.7151260504201681,SFS,2,"(0, 4)",8
6,0.7857142857142857,SFS,5,"(0, 3, 4, 5, 7)",4
7,0.7638655462184873,SFS,4,"(0, 4, 5, 6)",9
8,0.3815126050420168,SFS,1,"(0,)",4
9,0.7319327731092438,SFS,2,"(0, 4)",5
10,0.7941176470588235,SFS,3,"(0, 4, 6)",2
11,0.40336134453781514,SFS,1,"(0,)",8
12,0.7579831932773109,SFS,4,"(0, 4, 5, 6)",8
13,0.38907563025210085,SFS,1,"(0,)",3
14,0.7277310924369749,SFS,2,"(0, 4)",2
15,0.7420168067226891,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
16,0.7478991596638656,SFS,5,"(0, 2, 4, 5, 6)",8
17,0.7655462184873949,SFS,3,"(0, 4, 5)",6
18,0.7495798319327731,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",7
19,0.7915966386554623,SFS,5,"(0, 3, 4, 5, 6)",5
20,0.7983193277310925,SFS,5,"(0, 4, 5, 6, 7)",2
