loop,precision_micro,SFS,num selected features,feature idx,n_neighbors
1,0.8033613445378152,SFS,5,"(0, 4, 5, 6, 7)",4
2,0.7915966386554623,SFS,6,"(0, 2, 4, 5, 6, 7)",4
3,0.753781512605042,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
4,0.39831932773109247,SFS,1,"(0,)",1
5,0.7991596638655463,SFS,3,"(0, 4, 5)",5
6,0.8478991596638654,SFS,5,"(0, 3, 4, 5, 6)",1
7,0.4420168067226891,SFS,1,"(0,)",6
8,0.76890756302521,SFS,4,"(0, 4, 5, 6)",9
9,0.819327731092437,SFS,4,"(0, 3, 4, 5)",2
10,0.4420168067226891,SFS,1,"(0,)",6
11,0.438655462184874,SFS,1,"(0,)",8
12,0.76890756302521,SFS,4,"(0, 4, 5, 6)",9
13,0.753781512605042,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
14,0.7033613445378151,SFS,2,"(0, 4)",9
15,0.8151260504201681,SFS,4,"(0, 4, 5, 6)",3
16,0.4352941176470588,SFS,1,"(0,)",9
17,0.819327731092437,SFS,3,"(0, 4, 5)",3
18,0.438655462184874,SFS,1,"(0,)",8
19,0.438655462184874,SFS,1,"(0,)",8
20,0.7899159663865545,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",5
