loop,recall_macro,SFS,num selected features,feature idx,n_neighbors
1,0.4210084033613445,SFS,1,"(0,)",7
2,0.7781512605042016,SFS,5,"(0, 4, 5, 6, 7)",7
3,0.42521008403361343,SFS,1,"(0,)",5
4,0.7638655462184873,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
5,0.7831932773109243,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
6,0.8403361344537815,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
7,0.7605042016806722,SFS,4,"(0, 4, 5, 6)",8
8,0.7445378151260504,SFS,6,"(0, 2, 4, 5, 6, 7)",8
9,0.8058823529411765,SFS,5,"(0, 3, 4, 5, 7)",2
10,0.7302521008403362,SFS,2,"(0, 4)",5
11,0.7831932773109244,SFS,4,"(0, 4, 5, 6)",6
12,0.8403361344537815,SFS,4,"(0, 3, 4, 5)",1
13,0.7831932773109244,SFS,4,"(0, 4, 5, 6)",6
14,0.7798319327731091,SFS,3,"(0, 4, 5)",7
15,0.761344537815126,SFS,3,"(0, 4, 5)",8
16,0.8403361344537815,SFS,4,"(0, 3, 4, 5)",1
17,0.3941176470588235,SFS,1,"(0,)",3
18,0.8016806722689076,SFS,6,"(0, 2, 3, 4, 5, 7)",2
19,0.7394957983193278,SFS,2,"(0, 4)",4
20,0.4168067226890756,SFS,1,"(0,)",9
