"['loop', 'SFS', 'num selected features', 'feature idx', 'kernel', 'C', 'gamma', 'accuracy']"
1,SFS,1,"(2,)",rbf,4.672533212258014,14.771414266177707
2,FSFS,2,"(0, 3)",linear,9.891213938769193,12.183561692267444
3,FSBS,2,"(2, 3)",rbf,16.74628117653913,11.407374653054198
4,FSBS,1,"(2,)",poly,15.456506058003717,14.604764171226323
5,SFS,1,"(3,)",rbf,6.493600603376648,5.505274258519881
6,FSFS,2,"(0, 3)",linear,2.933562011784512,14.823016004249798
7,SFS,1,"(3,)",linear,6.400014572460253,16.53400307420371
8,SFS,2,"(2, 3)",poly,11.039823268477447,5.544138003285761
9,FSBS,2,"(0, 1)",sigmoid,0.766499423977407,8.442528886145528
10,FSFS,2,"(0, 1)",sigmoid,13.317499018715797,17.152605054573616
